city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:44,18,0.0,Stable,22.15,23.3,22.0,17,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:50,19,0.0,Stable,22.17,23.3,22.0,18,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:41:57,20,0.0,Stable,22.2,23.3,22.0,19,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:03,21,-0.6,Decreasing,22.19,23.3,22.0,20,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:09,22,0.0,Stable,22.18,23.3,22.0,21,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:15,23,0.6,Increasing,22.2,23.3,22.0,22,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:21,24,0.0,Stable,22.21,23.3,22.0,23,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:27,25,0.0,Stable,22.23,23.3,22.0,24,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:33,26,0.0,Stable,22.24,23.3,22.0,25,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:39,27,0.0,Stable,22.26,23.3,22.0,26,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:45,28,0.0,Stable,22.27,23.3,22.0,27,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:50,29,-0.6,Decreasing,22.26,23.3,22.0,28,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:42:57,30,0.0,Stable,22.25,23.3,22.0,29,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:02,31,0.0,Stable,22.24,23.3,22.0,30,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:08,32,0.6,Increasing,22.25,23.3,22.0,31,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:15,33,0.0,Stable,22.26,23.3,22.0,32,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:21,34,0.0,Stable,22.27,23.3,22.0,33,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:27,35,0.0,Stable,22.28,23.3,22.0,34,Clear,No alert
